Seq_number,Seq_number_2,Temp. Field Bottle ID,Sample_date,LabID,Sample_ID,Month,New_name,Site_code,Site,Bio_rep,Depth_code,Depth,Tech_rep,PCR_Cycles,Index Cycles,Project,Sample_Control,Control_Type,Date_Sampled,River
Kenai.seqrun1.041.S41.L001,c19_fishcard_Kenai.seqrun1.041.S41.L001,"2, 3A",11/25/20,52386_024,Kenai_seqrun1_041,Nov.202,Bridge_Surface_Nov.202_3,2,Bridge,3,A,Surface,NA,39,8,Kenai,Sample,NA,25-Nov,Kenai
Kenai.seqrun1.042.S42.L001,c19_fishcard_Kenai.seqrun1.042.S42.L001,"2, 1B",11/25/20,52386_026,Kenai_seqrun1_042,Nov.202,Bridge_5m_Nov.202_1,2,Bridge,1,B,5m,NA,39,8,Kenai,Sample,NA,25-Nov,Kenai
Kenai.seqrun1.043.S43.L001,c19_fishcard_Kenai.seqrun1.043.S43.L001,"2, 2B",11/25/20,52386_027,Kenai_seqrun1_043,Nov.202,Bridge_5m_Nov.202_2,2,Bridge,2,B,5m,NA,39,8,Kenai,Sample,NA,25-Nov,Kenai
Kenai.seqrun1.044.S44.L001,c19_fishcard_Kenai.seqrun1.044.S44.L001,"2, 3B",11/25/20,52386_028,Kenai_seqrun1_044,Nov.202,Bridge_5m_Nov.202_3,2,Bridge,3,B,5m,NA,39,8,Kenai,Sample,NA,25-Nov,Kenai
Kenai.seqrun1.045.S45.L001,c19_fishcard_Kenai.seqrun1.045.S45.L001,"1,1A",12/28/20,52386_030,Kenai_seqrun1_045,Dec,Dock_Surface_Dec_1_1,1,Dock,1,A,Surface,1,39,8,Kenai,Sample,NA,28-Dec,Kenai
Kenai.seqrun1.046.S46.L001,c19_fishcard_Kenai.seqrun1.046.S46.L001,"1, 2A",12/28/20,52386_031,Kenai_seqrun1_046,Dec,Dock_Surface_Dec_2_1,1,Dock,2,A,Surface,1,39,8,Kenai,Sample,NA,28-Dec,Kenai
Kenai.seqrun1.047.S47.L001,c19_fishcard_Kenai.seqrun1.047.S47.L001,"1, 3A",12/28/20,52386_032,Kenai_seqrun1_047,Dec,Dock_Surface_Dec_3_1,1,Dock,3,A,Surface,1,39,8,Kenai,Sample,NA,28-Dec,Kenai
Kenai.seqrun1.048.S48.L001,c19_fishcard_Kenai.seqrun1.048.S48.L001,"1, 1B",12/28/20,52386_033,Kenai_seqrun1_048,Dec,Dock_5m_Dec_1_1,1,Dock,1,B,5m,1,39,8,Kenai,Sample,NA,28-Dec,Kenai
Kenai.seqrun1.049.S49.L001,c19_fishcard_Kenai.seqrun1.049.S49.L001,"1, 2B",12/28/20,52386_034,Kenai_seqrun1_049,Dec,Dock_5m_Dec_2_1,1,Dock,2,B,5m,1,39,8,Kenai,Sample,NA,28-Dec,Kenai
Kenai.seqrun1.050.S50.L001,c19_fishcard_Kenai.seqrun1.050.S50.L001,"1, 3B",12/28/20,52386_035,Kenai_seqrun1_050,Dec,Dock_5m_Dec_3_1,1,Dock,3,B,5m,1,39,8,Kenai,Sample,NA,28-Dec,Kenai
Kenai.seqrun1.051.S51.L001,c19_fishcard_Kenai.seqrun1.051.S51.L001,"2, 1A",12/28/20,52386_036,Kenai_seqrun1_051,Dec,Bridge_Surface_Dec_1_1,2,Bridge,1,A,Surface,1,39,8,Kenai,Sample,NA,28-Dec,Kenai
Kenai.seqrun1.052.S52.L001,c19_fishcard_Kenai.seqrun1.052.S52.L001,"2, 2A",12/28/20,52386_038,Kenai_seqrun1_052,Dec,Bridge_Surface_Dec_2_1,2,Bridge,2,A,Surface,1,39,8,Kenai,Sample,NA,28-Dec,Kenai
Kenai.seqrun1.053.S53.L001,c19_fishcard_Kenai.seqrun1.053.S53.L001,"2, 3A",12/28/20,52386_039,Kenai_seqrun1_053,Dec,Bridge_Surface_Dec_3_1,2,Bridge,3,A,Surface,1,39,8,Kenai,Sample,NA,28-Dec,Kenai
Kenai.seqrun1.054.S54.L001,c19_fishcard_Kenai.seqrun1.054.S54.L001,"2, 1B",12/28/20,52386_040,Kenai_seqrun1_054,Dec,Bridge_5m_Dec_1_1,2,Bridge,1,B,5m,1,39,8,Kenai,Sample,NA,28-Dec,Kenai
